"noted_date","temperature_inside","__dt"
"2018-10-27 08:01:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:02:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:03:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:05:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:05:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:06:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:07:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:11:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:08:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:10:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:13:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:14:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:14:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:15:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:15:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:18:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:16:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:18:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:21:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:21:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:22:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:22:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:23:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:23:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:25:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:26:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:26:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:27:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:30:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:29:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:30:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:31:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:31:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:33:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:34:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:34:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:36:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:38:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:39:00","32","2022-03-29 00:00:00.000"
"2018-10-27 08:40:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:38:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:40:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:40:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:41:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:41:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:43:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:46:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:47:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:48:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:47:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:48:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:48:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:49:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:50:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:50:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:52:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:52:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:53:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:53:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:54:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:54:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:56:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:57:00","33","2022-03-29 00:00:00.000"
"2018-10-27 09:00:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:59:00","33","2022-03-29 00:00:00.000"
"2018-10-27 09:00:00","33","2022-03-29 00:00:00.000"
"2018-10-27 09:00:00","33","2022-03-29 00:00:00.000"
"2018-10-27 09:00:00","33","2022-03-29 00:00:00.000"
"2018-10-27 09:01:00","33","2022-03-29 00:00:00.000"
"2018-10-27 09:01:00","33","2022-03-29 00:00:00.000"
"2018-10-27 09:03:00","33","2022-03-29 00:00:00.000"
"2018-10-27 09:03:00","33","2022-03-29 00:00:00.000"
"2018-10-27 09:05:00","33","2022-03-29 00:00:00.000"
"2018-10-27 09:05:00","33","2022-03-29 00:00:00.000"
"2018-10-27 09:05:00","33","2022-03-29 00:00:00.000"
"2018-10-27 09:06:00","33","2022-03-29 00:00:00.000"
"2018-10-27 09:06:00","33","2022-03-29 00:00:00.000"
"2018-10-27 09:07:00","33","2022-03-29 00:00:00.000"
"2018-10-27 09:07:00","33","2022-03-29 00:00:00.000"
"2018-10-27 09:10:00","33","2022-03-29 00:00:00.000"
"2018-10-27 09:09:00","33","2022-03-29 00:00:00.000"
"2018-10-27 09:11:00","33","2022-03-29 00:00:00.000"
"2018-10-27 09:12:00","33","2022-03-29 00:00:00.000"
"2018-10-27 09:12:00","33","2022-03-29 00:00:00.000"
"2018-10-27 09:12:00","33","2022-03-29 00:00:00.000"
"2018-10-27 09:13:00","33","2022-03-29 00:00:00.000"
"2018-10-27 09:15:00","33","2022-03-29 00:00:00.000"
"2018-10-27 09:17:00","33","2022-03-29 00:00:00.000"
